info: loaded 50 dataset items
info: spawning 64 worker(s) across cpus
info: worker 1 listening on :8080
info: worker 2 listening on :8080
info: worker 3 listening on :8080
info: worker 4 listening on :8080
info: worker 5 listening on :8080
info: worker 6 listening on :8080
info: worker 7 listening on :8080
info: worker 8 listening on :8080
info: worker 9 listening on :8080
info: worker 10 listening on :8080
info: worker 11 listening on :8080
info: worker 12 listening on :8080
info: worker 13 listening on :8080
info: worker 14 listening on :8080
info: worker 15 listening on :8080
info: worker 16 listening on :8080
info: worker 17 listening on :8080
info: worker 19 listening on :8080
info: worker 18 listening on :8080
info: worker 20 listening on :8080
info: worker 21 listening on :8080
info: worker 22 listening on :8080
info: worker 23 listening on :8080
info: worker 24 listening on :8080
info: worker 25 listening on :8080
info: worker 26 listening on :8080
info: worker 27 listening on :8080
info: worker 28 listening on :8080
info: worker 29 listening on :8080
info: worker 30 listening on :8080
info: worker 31 listening on :8080
info: worker 32 listening on :8080
info: worker 33 listening on :8080
info: worker 34 listening on :8080
info: worker 35 listening on :8080
info: worker 36 listening on :8080
info: worker 37 listening on :8080
info: worker 38 listening on :8080
info: worker 39 listening on :8080
info: worker 40 listening on :8080
info: worker 41 listening on :8080
info: worker 42 listening on :8080
info: worker 44 listening on :8080
info: worker 43 listening on :8080
info: worker 45 listening on :8080
info: worker 46 listening on :8080
info: worker 47 listening on :8080
info: worker 48 listening on :8080
info: worker 49 listening on :8080
info: worker 50 listening on :8080
info: worker 51 listening on :8080
info: worker 52 listening on :8080
info: worker 53 listening on :8080
info: worker 54 listening on :8080
info: worker 55 listening on :8080
info: worker 56 listening on :8080
info: worker 57 listening on :8080
info: worker 58 listening on :8080
info: worker 59 listening on :8080
info: worker 60 listening on :8080
info: worker 61 listening on :8080
info: worker 0 listening on :8080
info: worker 63 listening on :8080
info: worker 62 listening on :8080
